id,author,text,created_at,retweets,favorites,hashtags,is_retweet,place,main_emotion_label,main_emotion_score,second_emotion_label,second_emotion_score
1888048295777272131,🦅 AC  🦅,"What my car sounds like when I try to start it on a cold morning with a dying battery. 😞

 #FlyEaglesFly #Eagles #Patrickmahomes #SuperBowl #SuperBowlLIX https://t.co/UUxeo9ZvuJ",2025-02-08 02:12:46,0,0,"[""FlyEaglesFly"", ""Eagles"", ""Patrickmahomes"", ""SuperBowl"", ""SuperBowlLIX""]",0,,fear,0.6392744779586792,anger,0.28950929641723633
1888048445618831775,DustinClark1995,"Why the Eagles Win the Super Bowl?
1. Run Game
(Saquon + O-Line Best in NFL)
2. No Turnovers
(Eagles Protect the Football)
3. Creating Turnovers
(Eagles Defense Hunt for the Football)
#FlyEaglesFly #SuperBowl #KCvsPHI https://t.co/bcoqfR1aw9",2025-02-08 02:13:22,0,0,"[""FlyEaglesFly"", ""SuperBowl"", ""KCvsPHI""]",0,,fear,0.9011386036872864,anger,0.0572177954018116
1888048774775455960,Alex Graser,"I can’t wait for this weekend, if the Eagles win it will be the second best moment in my life. Watch out future kids your about to be ranked 3rd or 4th for best moments in my life. (1st is Super Bowl LII) #Eagles #Birds #SuperBowl https://t.co/47I5pPQClT",2025-02-08 02:14:40,0,0,"[""Eagles"", ""Birds"", ""SuperBowl""]",0,,fear,0.8973672389984131,anger,0.038244638592004776
1888049863100690756,Chris Dyer,Super Bowl LIX Preview: Kansas City Chiefs vs. Philadelphia Eagles – Handicappers Hideaway https://t.co/kG02exEFkb #SuperBowlLIX #NFL #FlyEaglesFly #ChiefsKingdom,2025-02-08 02:19:00,0,0,"[""SuperBowlLIX"", ""NFL"", ""FlyEaglesFly"", ""ChiefsKingdom""]",0,,fear,0.934864342212677,anger,0.02984137274324894
1888050387518673407,iBeast,"3 peat loading😴

#ChiefsKingdom 
#ChiefsNation 
#ChiefsVsEagles 
#SuperBowl 
#SuperBowlLIX",2025-02-08 02:21:05,0,0,"[""ChiefsKingdom"", ""ChiefsNation"", ""ChiefsVsEagles"", ""SuperBowl"", ""SuperBowlLIX""]",0,,fear,0.7470009326934814,anger,0.14688178896903992
1888050810321518654,His Grace GOAT targaryen,Jason J Daniel Show #139 SUPERBOWL predictions  #NFL #EAGLES #CHIEFS https://t.co/EpzZAWTbko,2025-02-08 02:22:46,0,0,"[""NFL"", ""EAGLES"", ""CHIEFS""]",0,,fear,0.8305783271789551,joy,0.09309126436710358
1888051170515534004,Tyler Wertz,BG... please... go get 1 more!! #Eagles #FlyEaglesFly #SBLIX,2025-02-08 02:24:12,0,1,"[""Eagles"", ""FlyEaglesFly"", ""SBLIX""]",0,,fear,0.8485205173492432,joy,0.05925700068473816
1888052654774882682,MADD California,Volunteers are the heart &amp; face of our fight to end impaired driving. James Alvarez &amp; his daughter Adalyn teamed up with AAA &amp; CHP to remind you to plan ahead for a sober ride before kickoff this weekend. #SuperBowl #Chiefs #Eagles #DesignatedDriver https://t.co/KWBv2hkqYe,2025-02-08 02:30:05,1,1,"[""SuperBowl"", ""Chiefs"", ""Eagles"", ""DesignatedDriver""]",0,,fear,0.8237637877464294,anger,0.0710686668753624
1888052829710954944,Speaker of Truth,"@gwehunt22 Have a great one, Gary! 

#zelena #FridayVibes #SuperBowl #FlyEaglesFly #ChiefsKingdom",2025-02-08 02:30:47,0,1,"[""zelena"", ""FridayVibes"", ""SuperBowl"", ""FlyEaglesFly"", ""ChiefsKingdom""]",0,,fear,0.8894849419593811,joy,0.05192769691348076
1888052943653585330,"𝕏 Sports Betting, Odds, Research","is everyone and their mom on Dallas Goddert Over props for Super Bowl, or is it just me?

@Eagles @DKSportsbook @FanaticsBook @stationcasinos @SuperBookNV 

#SuperBowl #SuperBowlLIX #FlyEaglesFly #chiefskingdom https://t.co/sOy2fHOtgq",2025-02-08 02:31:14,0,0,"[""SuperBowl"", ""SuperBowlLIX"", ""FlyEaglesFly"", ""chiefskingdom""]",0,,fear,0.8981019258499146,anger,0.061048004776239395
